generation,best_fitness,mean_fitness,std_fitness
0,-39.17724284264879,-543.4674937580478,411.54004894109
1,24.655615186515025,-293.6970602123107,321.1040603656088
2,35.872006814050536,-249.8645810992162,227.4957559025247
3,35.872006814050536,-220.19107896854365,196.46695654987894
4,35.872006814050536,-200.77115511724637,171.21387003700758
5,126.12949777465276,-197.00189792847974,230.91402648166064
6,126.12949777465276,-216.44271555805534,218.25487107747335
7,126.12949777465276,-151.67402689729806,178.90948214178658
8,126.12949777465276,-151.09992730204152,180.45082340941306
9,126.12949777465276,-176.44860437732913,196.0061410549563
10,126.12949777465276,-205.08143323871775,232.9507447906226
11,126.12949777465276,-180.08050483390477,225.1425572871736
12,126.12949777465276,-133.0256961927876,164.8788153961133
13,126.12949777465276,-142.6045998638839,166.73010349550475
14,137.4321244479079,-154.91023378746152,238.32538640497768
15,137.4321244479079,-176.87293188399042,230.3273000295633
16,137.4321244479079,-187.43371958654765,203.39736565275547
17,137.4321244479079,-165.16201526434446,211.5019634250386
18,137.4321244479079,-175.8682060387511,205.39025522328924
19,137.4321244479079,-180.13343883126495,235.59342759234704
20,137.4321244479079,-167.73364785102012,207.70527012953698
21,137.4321244479079,-137.740156722591,190.84411618056507
22,137.4321244479079,-126.09930955319459,160.4190563086872
23,137.4321244479079,-152.17319251706576,223.9613022511482
24,142.24762977873,-163.17858973788242,227.39802049625706
25,145.7502736627008,-145.06795215980327,182.47524019955543
26,145.7502736627008,-172.05575597411828,211.2668246286957
27,145.7502736627008,-135.36639060690032,198.3231354567905
28,145.7502736627008,-169.21890535118638,226.13645234234386
29,145.7502736627008,-133.88307352114208,191.8559841234403
30,145.7502736627008,-208.11858933668316,257.9676308674684
31,145.7502736627008,-182.20770384970146,252.38574567616632
32,145.7502736627008,-188.77784929494894,331.2416261393978
33,145.7502736627008,-157.81736442965618,198.30385719529465
34,145.7502736627008,-153.84613326922616,213.94436219703667
35,145.7502736627008,-196.174870863032,288.2822381875376
36,145.7502736627008,-150.95240648248526,193.4277184564734
37,145.7502736627008,-210.90073057143246,262.90689424959623
38,145.7502736627008,-191.94530355859257,218.67190049748558
39,145.7502736627008,-188.7021589756163,265.95743098848294
40,145.7502736627008,-182.4426252736776,278.7493455547813
41,145.7502736627008,-193.9625143988711,241.0452716088533
42,145.7502736627008,-173.1107342865962,216.22286095873068
43,145.7502736627008,-172.2699751541465,226.31899445519866
44,145.7502736627008,-158.23173047182172,221.5502952230995
45,145.7502736627008,-143.42961221045908,244.012106506115
46,145.7502736627008,-162.8797281744928,245.3218871568576
47,145.7502736627008,-187.04379087650912,266.05927333561857
48,145.7502736627008,-169.17139858137028,213.69704089947817
49,145.7502736627008,-225.83091564727138,260.7335929789731
50,145.7502736627008,-158.89348747934304,206.31977987071718
51,145.7502736627008,-190.66905759369465,224.49758522799675
52,145.7502736627008,-169.6504926904415,222.63850500036227
53,158.82538184986754,-135.3142089240283,214.88339089018044
54,158.82538184986754,-170.99378442720652,246.98313023066376
55,158.82538184986754,-168.72488960712786,240.89852176099134
56,158.82538184986754,-137.84139229917136,195.67042823730105
57,158.82538184986754,-164.11191588376468,199.77934526524194
58,158.82538184986754,-132.14012215134082,227.333677973268
59,158.82538184986754,-142.86962578875864,202.99286507498837
60,158.82538184986754,-130.19855725997377,210.486699613712
61,158.82538184986754,-138.66500615482758,206.49522740137198
62,158.82538184986754,-164.23913457245314,226.7617702040261
63,158.82538184986754,-173.40666436045842,237.47230056481942
64,158.82538184986754,-190.51501647285372,232.05925537170623
65,158.82538184986754,-138.29638912206755,213.0072220157366
66,158.82538184986754,-160.747080233151,233.37123980114066
67,158.82538184986754,-187.04014176299492,263.8896030771542
68,158.82538184986754,-188.15126323294905,244.1918561095636
69,158.82538184986754,-139.7094029058081,199.3181198993964
70,158.82538184986754,-164.57218846557782,232.9562200539817
71,158.82538184986754,-182.76619205986364,245.5681663107022
72,158.82538184986754,-164.440236379534,264.64934179226384
73,158.82538184986754,-122.86387036887822,189.7944003250865
74,158.82538184986754,-134.33018104183822,216.17064924551408
75,158.82538184986754,-136.62881887704634,198.41348079257855
76,158.82538184986754,-132.04576346563613,199.57475029349564
77,158.82538184986754,-124.509556480392,187.18590171474102
78,158.82538184986754,-123.14423167493901,191.4383186887905
79,158.82538184986754,-151.2565097071113,240.73480352711607
80,158.82538184986754,-119.98274267056094,187.31602000744377
81,158.82538184986754,-135.14380445300333,214.27192674472818
82,158.82538184986754,-133.0615312539964,200.6152864783088
83,158.82538184986754,-100.87240575637473,163.27020933829402
84,158.82538184986754,-148.53469242802117,216.0958983455252
85,158.82538184986754,-169.54911026361543,257.69006238182226
86,158.82538184986754,-151.74587268422164,246.52546728597972
87,158.82538184986754,-150.4539388820848,195.61846871745053
88,158.82538184986754,-176.20885167814035,243.231566623484
