strategy,num_generations,best_fitness,best_generation,final_best_fitness,final_mean_fitness,final_std_fitness,first_solved_generation
centered_landing,300,-383.9907466163377,244,-383.9907466163377,-831.1252190507533,544.821288265288,
default,300,241.5864253089712,290,241.5864253089712,-105.76409394885741,208.32784509080935,171
landing_quality,300,2061.850166389306,297,2061.850166389306,-896.1654178047152,777.0314340527339,6
penalty_angle,300,45.071357081823116,298,45.071357081823116,-227.88738830379333,268.3119831369505,
penalty_time,300,192.1009544457338,262,192.1009544457338,-113.57444690100728,130.54939820605068,
