generation,best_fitness,mean_fitness,std_fitness
0,-102.34278279423768,-809.2963807264329,717.7026248877919
1,-102.34278279423768,-504.3058398654956,420.85748756704857
2,-89.40581535906449,-348.5454171095326,402.3065446535908
3,-66.78106366700707,-292.794268207291,283.1346837695131
4,-66.78106366700707,-204.64089403445786,140.47987329942475
5,-36.466505769281156,-303.57445106421164,299.7720985195769
6,-36.466505769281156,-249.9261017455394,243.4666305245316
7,-13.877007202026343,-233.21193741013093,240.99880041723813
8,-13.877007202026343,-259.2721365471977,227.59313124623432
9,-13.877007202026343,-272.2301442241963,359.8710363121952
10,-13.877007202026343,-250.40364040465428,268.83534668439484
11,-13.877007202026343,-269.6495487760708,273.7068004366205
12,-4.917596875940736,-227.05686451337078,254.6900617196777
13,3.3803806329340014,-226.32992050187062,204.45854903078873
14,3.3803806329340014,-206.27209998811867,196.06674805736105
15,3.3803806329340014,-208.5440814070857,183.35390129046326
16,3.945271187614537,-238.8446928956942,224.66409946496336
17,3.945271187614537,-232.35718243541817,223.28194954197033
18,3.945271187614537,-275.34416801428824,278.4229549005987
19,5.940805953261939,-272.2280932519323,276.5759694392402
20,5.940805953261939,-277.9160138332905,266.46239359644363
21,5.940805953261939,-339.46815478719856,371.4252774404158
22,5.940805953261939,-280.93808819150456,299.56430164836996
23,5.940805953261939,-229.7553049725023,205.7669622266964
24,5.940805953261939,-254.6030085070317,220.47915504487312
25,5.940805953261939,-250.14875550711398,256.8913034079538
26,5.940805953261939,-318.41546858791907,324.587905011467
27,5.940805953261939,-284.9858241497301,305.7771226841736
28,5.940805953261939,-280.3130289546568,293.25961489740695
29,5.940805953261939,-226.91536264111593,206.3788727791558
30,5.940805953261939,-231.14392697722374,234.72077583440907
31,5.940805953261939,-200.2784270919005,167.60795609753964
32,5.940805953261939,-228.58863601935687,234.03085978434152
33,5.940805953261939,-220.14978189104426,222.85040390068363
34,5.940805953261939,-237.40605480008705,244.64844722609556
35,5.940805953261939,-263.87157706700503,245.36935478960896
36,5.940805953261939,-226.96645499477668,211.3123055622347
37,5.940805953261939,-215.02007704457822,190.98110149403027
38,5.940805953261939,-253.87269740676965,234.28220024124667
39,5.940805953261939,-253.51139460099094,261.5047690930918
40,5.940805953261939,-209.21219600018355,178.7841781981493
41,5.940805953261939,-210.49365085120675,217.27695297658133
42,5.940805953261939,-231.00962753207082,235.07214757096276
43,5.940805953261939,-169.71950533281336,144.6879342219752
44,5.940805953261939,-207.56103962212458,248.52977860659314
45,5.940805953261939,-206.40931555383122,226.61038374909336
46,5.940805953261939,-207.04093216833886,199.04319603229973
47,5.940805953261939,-220.4992056208998,219.78669717450592
48,5.940805953261939,-201.8379533809619,214.7514089092073
49,5.940805953261939,-223.24635816621668,219.60286635011056
50,5.940805953261939,-176.60633428281122,177.01497476643942
51,5.940805953261939,-179.2623231561149,166.15917104241163
52,5.940805953261939,-193.56368225370306,193.7153781840354
53,5.940805953261939,-206.5524602220724,199.08634710339075
54,5.940805953261939,-238.50946415497864,228.59602681977674
55,5.940805953261939,-198.63168706408007,188.78649396361925
56,5.940805953261939,-244.44979398151347,289.9506365433257
57,5.940805953261939,-187.34902370187712,178.0551527915239
58,5.940805953261939,-258.6126343215563,255.80381208288895
59,5.940805953261939,-206.91576478214637,192.74896697956197
60,5.940805953261939,-206.08109601467,195.7873805577476
61,5.940805953261939,-227.7983043538798,242.66238349439905
62,5.940805953261939,-184.7229101392697,178.74223221963123
63,5.940805953261939,-173.54603154051128,162.2195273540046
64,5.940805953261939,-190.31037033028502,179.129410150648
65,5.940805953261939,-240.80806389421065,259.27720000295164
66,5.940805953261939,-219.58475643932834,235.33955250480486
67,5.940805953261939,-192.93350729725478,189.06900691493863
68,5.940805953261939,-258.04340956121376,246.43365017497803
69,5.940805953261939,-237.76762037776047,255.1421101021163
70,5.940805953261939,-202.87345881892017,191.41585868046906
71,5.940805953261939,-218.2642889679187,208.1192334969816
72,5.940805953261939,-286.71040959896493,294.08890361292157
73,5.940805953261939,-257.49155909653143,260.4871785234396
74,5.940805953261939,-222.69792508645517,263.9769914579726
75,5.940805953261939,-191.35892572068437,190.5920803435697
76,5.940805953261939,-214.52213101876615,252.7627181087243
77,5.940805953261939,-209.25011608819415,219.2707539770548
78,5.940805953261939,-211.75218777293657,194.29420205210158
79,5.940805953261939,-165.90000381073006,143.21969727590118
80,5.940805953261939,-191.0183013349363,177.07187827622195
81,5.940805953261939,-178.7630206201082,153.0761976376444
82,5.940805953261939,-204.6600425324316,207.2379396556547
83,5.940805953261939,-212.0485372407544,192.9188104764778
84,5.940805953261939,-213.1508650468371,206.91954685086506
85,5.940805953261939,-189.08562027384116,189.00804568337765
86,5.940805953261939,-187.36498658362297,177.46081728287584
87,5.940805953261939,-223.13164657865423,252.53597346622448
88,5.940805953261939,-197.6795431739439,247.43118657169413
89,5.940805953261939,-179.72743972224788,165.95441606896426
90,11.779397582294507,-184.7991612942466,160.62780382020586
91,11.779397582294507,-228.49398927783108,220.96717863998148
92,11.779397582294507,-211.42061908992434,185.2495571483059
93,11.779397582294507,-222.2323812229859,217.64599743941227
94,11.779397582294507,-234.05027748063623,238.51665712237514
95,11.779397582294507,-214.83509905916307,205.09705144298727
96,11.779397582294507,-211.9582762739257,199.5951690089869
97,11.779397582294507,-189.01751200691558,173.83304587554903
98,11.779397582294507,-193.52910100430384,199.17057488561812
99,11.779397582294507,-265.167087117689,310.7494222678635
100,11.779397582294507,-190.87896531901515,194.3215859414641
101,11.779397582294507,-209.3999242875092,214.94169403848562
102,11.779397582294507,-202.8499963530434,204.98332015901056
103,11.779397582294507,-196.9669241428409,212.83491505851396
104,11.779397582294507,-207.76431365491501,184.71943081276908
105,11.779397582294507,-225.66583895910875,248.98853806990118
106,11.779397582294507,-272.3597976639202,270.046097890059
107,11.779397582294507,-189.1214868260993,183.244081848731
108,11.779397582294507,-215.411666768638,212.13773730729295
109,11.779397582294507,-204.58117419712104,196.71380502943632
110,11.779397582294507,-197.773427841144,178.944013687865
111,11.779397582294507,-229.07274167587587,246.42613046012232
112,11.779397582294507,-202.6143344473539,232.49516908023116
113,11.779397582294507,-204.58384082816477,223.87795586175034
114,11.779397582294507,-217.6973407804862,213.31945469765154
115,11.779397582294507,-167.86301132265126,156.40431892518197
116,11.779397582294507,-178.60717124787877,170.66240235221485
117,11.779397582294507,-194.75363486406638,200.92158895607858
118,11.779397582294507,-181.90997844419476,148.8057350283198
119,11.779397582294507,-225.8966528387021,216.50701904476884
120,11.779397582294507,-197.13007862361508,255.88624367469708
121,11.779397582294507,-212.2629340521015,241.8017777974678
122,11.779397582294507,-185.43908271537126,171.0571137620255
123,11.779397582294507,-178.79610791801426,217.97890789349339
124,11.779397582294507,-208.45187654391765,207.43538944257378
125,11.779397582294507,-176.5550379265481,166.12582234040622
126,11.779397582294507,-175.2444819845539,175.76766742618597
127,11.779397582294507,-204.57567601900715,189.1863994149176
128,11.779397582294507,-193.671841480854,207.63190741714885
129,11.779397582294507,-207.54279759074686,208.71107607802588
130,11.779397582294507,-192.59944664244833,193.6850486733788
131,11.779397582294507,-209.64941256379055,240.297079242498
132,11.779397582294507,-197.07529558403021,208.58057679903786
133,11.779397582294507,-172.14175931740155,154.24164480022782
134,11.779397582294507,-178.19953649986533,176.77592062861117
135,11.779397582294507,-222.74369200398888,235.55081535832426
136,19.05742290717609,-199.34388540012958,202.35485901201227
137,19.05742290717609,-188.44273624436397,178.41490286433802
138,19.05742290717609,-225.03656621720793,229.99402493375774
139,19.05742290717609,-205.5989634315767,242.53639129488442
140,19.05742290717609,-207.72382354666655,204.94294061855157
141,19.05742290717609,-205.3471121495104,200.91854540127673
142,19.05742290717609,-195.66193658876125,185.73664282614735
143,19.05742290717609,-190.96970680932964,200.83719459081192
144,19.05742290717609,-181.9255645647232,163.49341253930427
145,19.05742290717609,-247.79741714188825,252.2048521271392
146,19.05742290717609,-223.369785393292,223.74486762784764
147,19.05742290717609,-191.57437665968072,192.91864868950648
148,19.05742290717609,-195.50683323166774,194.86437208296735
149,19.05742290717609,-198.60845761315784,198.27532916812845
150,19.05742290717609,-212.54726626902968,226.8930532628949
151,19.05742290717609,-220.5328974897708,257.0144040797904
152,19.05742290717609,-213.60393348434354,217.27784344236525
153,19.05742290717609,-200.77016488177284,218.50783309025778
154,19.05742290717609,-196.3546403429278,195.09497623178376
155,19.05742290717609,-205.36272677798024,196.45662045159298
156,19.05742290717609,-228.4727750635832,237.02057569096132
157,19.05742290717609,-209.6061059483061,220.3392629158374
158,19.05742290717609,-184.78494895614213,174.1345982614729
159,19.05742290717609,-202.5813377348101,216.40543304766416
160,19.05742290717609,-206.59500520970636,205.05048946043925
161,19.05742290717609,-175.6151636733738,165.36887074221335
162,19.05742290717609,-168.53390283766333,158.66402759453794
163,19.05742290717609,-208.58439206564137,206.35248880461734
164,19.05742290717609,-228.8631513235361,265.82161654506086
165,19.05742290717609,-207.6685225384456,220.33422495182705
166,19.05742290717609,-216.29681512359448,214.82581272350828
167,19.05742290717609,-166.83721304309213,163.2305185336211
168,19.05742290717609,-194.67271189231968,203.99492498979686
169,19.05742290717609,-220.70653873216753,225.20835210653732
170,19.05742290717609,-203.47669991110254,195.62664725658848
171,19.05742290717609,-195.17267812472383,212.26599976745106
172,19.05742290717609,-207.07364103158227,211.3380020637314
173,19.05742290717609,-205.02677513707872,210.52622232145822
174,19.05742290717609,-217.28355390962284,215.32607420664317
175,19.05742290717609,-205.62473385198786,205.5553238573863
176,19.05742290717609,-211.43658156068358,237.2762572908115
177,19.05742290717609,-231.98553351986155,237.0557394875766
178,19.05742290717609,-191.45291183630272,196.9643689480535
179,19.05742290717609,-241.3752685246702,256.70771570899177
180,19.05742290717609,-254.5908096807784,269.50800697429185
181,19.05742290717609,-265.5283976646971,273.9803017039165
182,19.05742290717609,-188.50220040349265,177.58983686020665
183,19.05742290717609,-188.95232590286142,180.78349123645694
184,27.08653335499658,-225.4715645855621,242.53655932344083
185,27.08653335499658,-225.67778604758345,238.54565723422664
186,27.08653335499658,-225.564361494577,217.16995087738977
187,27.08653335499658,-214.7945906058534,210.5859813302763
188,27.08653335499658,-237.56447852923904,266.61603999672553
189,27.08653335499658,-208.55028485713459,216.59960637233596
