generation,best_fitness,mean_fitness,std_fitness
55,-394.325228548189,-736.3960373946617,486.0290613518508
56,-394.325228548189,-767.3512012035288,605.7390866111036
57,-394.325228548189,-689.8433535705851,418.34182382574403
58,-394.325228548189,-867.5497074578822,614.2226553387578
59,-394.325228548189,-851.1869407778852,582.9364457590833
60,-394.325228548189,-783.8840845792181,587.1392967145149
61,-394.325228548189,-863.1197389101166,657.5663028093786
62,-394.325228548189,-797.5821598408452,526.6154908928079
63,-394.325228548189,-775.0772448960275,509.136888090326
64,-394.325228548189,-778.1525602579187,622.2294687605463
65,-394.325228548189,-675.159499804957,422.0313509304791
66,-394.325228548189,-765.9956786618749,553.7312290911233
67,-394.325228548189,-773.5423226073058,527.3607770906283
68,-394.325228548189,-884.3533942362757,656.773741678971
69,-394.325228548189,-765.1128355987177,534.5198787045579
70,-394.325228548189,-853.4662263023621,616.2377844854863
71,-394.325228548189,-794.60141764581,601.8860465797396
72,-394.325228548189,-752.7343945380239,554.2780507772258
73,-394.325228548189,-841.6630315655889,625.691421511892
74,-394.325228548189,-774.3705367700703,562.3271368511572
75,-394.325228548189,-760.275286794954,514.3499380964221
76,-394.325228548189,-724.0738485840295,478.7011674983029
77,-394.325228548189,-746.9544815683626,543.4010427911724
78,-394.325228548189,-828.7157442496855,558.0543185980888
79,-394.325228548189,-791.0371158299691,548.8155007432156
80,-394.325228548189,-885.3130522504825,675.3253330381731
81,-394.325228548189,-791.0759837389833,576.4312020366805
82,-394.325228548189,-874.0084967427994,605.1529222219239
83,-394.325228548189,-790.638904685026,577.7120110425865
84,-394.325228548189,-821.2943993284595,534.9461251926975
85,-394.325228548189,-862.9669489222204,651.9783195825984
86,-394.325228548189,-838.2158393270788,678.448938608993
87,-394.325228548189,-749.8636362693026,670.6475005423689
88,-394.325228548189,-863.7484794377262,655.9981760440303
89,-394.325228548189,-821.446235395803,618.6144203784323
90,-394.0053607424356,-867.023374913709,699.7766000630548
91,-394.0053607424356,-881.3574350492461,733.7559321892106
92,-394.0053607424356,-802.3215253648638,594.5882942169715
93,-394.0053607424356,-834.6336363210639,842.0585843148427
94,-394.0053607424356,-797.4073940008301,529.7904373596078
95,-394.0053607424356,-796.5604460423784,776.9474535107754
96,-394.0053607424356,-790.2139704636104,541.3824849158997
97,-394.0053607424356,-888.8093976345164,655.6664061938965
98,-394.0053607424356,-735.6772287459331,551.2352396352246
99,-394.0053607424356,-707.9917742225176,492.15924487432517
100,-394.0053607424356,-774.2990835982504,522.9143327359084
101,-394.0053607424356,-860.1775321315413,598.3642295403105
102,-394.0053607424356,-846.9173652392941,628.870089617351
